TIME,CH1
0.24704,0.76
0.24736,1
0.24768,0.96
0.248,0.72
0.24832,0.64
0.24864,0.88
0.24896,0.96
0.24928,0.68
0.2496,0.72
0.24992,0.76
0.25024,0.88
0.25056,0.92
0.25088,0.68
0.2512,0.88
0.25152,1.04
0.25184,0.84
0.25216,1
0.25248,0.84
0.2528,0.8
0.25312,0.68
0.25344,0.68
0.25376,0.8
0.25408,0.76
0.2544,0.96
0.25472,0.88
0.25504,0.52
0.25536,0.48
0.25568,0.84
0.256,0.64
0.25632,0.56
0.25664,0.84
0.25696,0.8
0.25728,0.56
0.2576,0.68
0.25792,0.8
0.25824,0.96
0.25856,0.92
0.25888,0.76
0.2592,0.92
0.25952,0.56
0.25984,0.92
0.26016,1
0.26048,1
0.2608,0.88
0.26112,0.92
0.26144,0.76
0.26176,0.6
0.26208,0.6
0.2624,0.84
0.26272,1.04
0.26304,0.88
0.26336,1
0.26368,0.68
0.264,0.64
0.26432,0.72
0.26464,0.76
0.26496,0.56
0.26528,0.88
0.2656,0.64
0.26592,0.76
0.26624,0.6
0.26656,0.72
0.26688,1.12
0.2672,0.64
0.26752,0.64
0.26784,0.6
0.26816,0.76
0.26848,1.04
0.2688,0.84
0.26912,1.12
0.26944,0.92
0.26976,0.6
0.27008,0.76
0.2704,0.68
0.27072,0.68
0.27104,0.68
0.27136,0.68
0.27168,0.64
0.272,0.84
0.27232,0.56
0.27264,0.56
0.27296,1.08
0.27328,0.6
0.2736,0.72
0.27392,0.6
0.27424,0.72
0.27456,0.88
0.27488,0.6
0.2752,0.6
0.27552,0.52
0.27584,0.88
0.27616,1.04
0.27648,0.8
0.2768,0.68
0.27712,0.72
0.27744,0.72
0.27776,1
0.27808,0.56
0.2784,0.56
0.27872,0.84
0.27904,1.04
0.27936,0.72
0.27968,0.6
0.28,0.56
0.28032,0.64
0.28064,0.76
0.28096,0.92
0.28128,0.6
0.2816,1.2
0.28192,0.76
0.28224,0.92
0.28256,0.72
0.28288,0.56
0.2832,0.68
0.28352,0.72
0.28384,0.6
0.28416,0.56
0.28448,0.56
0.2848,1
0.28512,0.96
0.28544,1.04
0.28576,0.6
0.28608,0.6
0.2864,0.68
0.28672,0.68
0.28704,0.68
0.28736,0.64
0.28768,0.84
0.288,0.68
0.28832,0.76
0.28864,0.76
0.28896,0.72
0.28928,0.8
0.2896,0.8
0.28992,1.04
0.29024,0.84
0.29056,0.68
0.29088,0.6
0.2912,0.96
0.29152,0.6
0.29184,0.6
0.29216,0.76
0.29248,0.76
0.2928,0.72
0.29312,0.56
0.29344,0.84
0.29376,0.72
0.29408,0.92
0.2944,1.12
0.29472,0.76
0.29504,0.68
0.29536,0.88
0.29568,0.68
0.296,0.72
0.29632,0.84
0.29664,1
0.29696,0.88
0.29728,0.92
0.2976,0.64
0.29792,0.84
0.29824,0.72
0.29856,0.56
0.29888,0.56
0.2992,1
0.29952,0.84
0.29984,0.72
0.30016,0.72
0.30048,0.56
0.3008,0.56
0.30112,0.8
0.30144,0.84
0.30176,0.68
0.30208,0.64
0.3024,0.8
0.30272,0.92
0.30304,1.04
0.30336,0.96
0.30368,0.88
0.304,0.64
0.30432,1
0.30464,0.72
0.30496,0.64
0.30528,1.2
0.3056,0.64
0.30592,0.6
0.30624,0.88
0.30656,0.68
0.30688,0.92
0.3072,0.88
0.30752,0.84
0.30784,0.76
0.30816,0.8
0.30848,0.84
0.3088,0.8
0.30912,0.64
0.30944,0.92
0.30976,0.76
0.31008,0.8
0.3104,0.92
0.31072,0.84
0.31104,0.64
0.31136,0.64
0.31168,1.04
0.312,0.56
